#FILE	SEQUENCE	START	END	STRAND	GENE	COVERAGE	COVERAGE_MAP	GAPS	%COVERAGE	%IDENTITY	DATABASE	ACCESSION	PRODUCT	RESISTANCE
/app/Data_Files/genomes/GCA_000833635.2.fna	CP011124.1	3976086	3977318	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	99.92	resfinder	Y08743	mdf(A)	
/app/Data_Files/genomes/GCA_001280345.1.fna	CP012625.1	3310880	3312112	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.89	resfinder	Y08743	mdf(A)	
/app/Data_Files/genomes/GCA_001280345.1.fna	CP012626.1	493	1278	+	aph(3'')-Ib_5	1-804/804	========/======	18/18	97.76	97.76	resfinder	AF321551	aph(3'')-Ib	Streptomycin
/app/Data_Files/genomes/GCA_001280345.1.fna	CP012626.1	1278	2088	+	aph(6)-Id_1	1-837/837	========/======	24/26	96.89	96.66	resfinder	M28829	aph(6)-Id	Streptomycin
/app/Data_Files/genomes/GCA_001280345.1.fna	CP012626.1	3364	4586	+	tet(A)_6	1-1247/1275	========/======	25/26	95.84	97.84	resfinder	AF534183	tet(A)	Doxycycline;Tetracycline
/app/Data_Files/genomes/GCA_001280345.1.fna	CP012626.1	97837	98310	+	dfrA17_1	1-474/474	===============	0/0	100.00	100.00	resfinder	FJ460238	dfrA17	Trimethoprim
/app/Data_Files/genomes/GCA_001280345.1.fna	CP012626.1	106096	106956	-	aac(3)-IId_1	1-861/861	===============	0/0	100.00	99.88	resfinder	EU022314	aac(3)-IId	Gentamicin;Tobramycin
/app/Data_Files/genomes/GCA_001280345.1.fna	CP012626.1	109330	110190	+	blaTEM-1B_1	1-861/861	===============	0/0	100.00	100.00	resfinder	AY458016	blaTEM-1B	Amoxicillin;Ampicillin;Cephalothin;Piperacillin;Ticarcillin
/app/Data_Files/genomes/GCA_001280345.1.fna	CP012627.1	1335	2210	-	blaCTX-M-14_1	1-876/876	===============	0/0	100.00	100.00	resfinder	AF252622	blaCTX-M-14	Amoxicillin;Ampicillin;Aztreonam;Cefepime;Cefotaxime;Ceftazidime;Ceftriaxone;Piperacillin;Ticarcillin
/app/Data_Files/genomes/GCA_001617565.1.fna	CP015138.1	115296	116528	-	mdf(A)_1	1-1233/1233	===============	0/0	100.00	97.81	resfinder	Y08743	mdf(A)	
/app/Data_Files/genomes/GCA_001617565.1.fna	CP015139.1	7964	8885	+	mph(A)_2	1-921/921	========/======	1/1	100.00	99.67	resfinder	U36578	mph(A)	Erythromycin;Azithromycin;Spiramycin;Telithromycin
/app/Data_Files/genomes/GCA_001617565.1.fna	CP015139.1	15507	16373	-	sul1_5	1-867/867	===============	0/0	100.00	99.89	resfinder	EU780013	sul1	Sulfamethoxazole
/app/Data_Files/genomes/GCA_001617565.1.fna	CP015139.1	18689	19500	-	ant(3'')-Ia_1	161-972/972	..=============	0/0	83.54	99.63	resfinder	X02340	ant(3'')-Ia	Streptomycin
/app/Data_Files/genomes/GCA_001617565.1.fna	CP015139.1	19497	20297	-	blaOXA-10_1	1-801/801	===============	0/0	100.00	100.00	resfinder	J03427	blaOXA-10	Amoxicillin;Ampicillin;Aztreonam;Piperacillin;Piperacillin+Tazobactam
/app/Data_Files/genomes/GCA_001617565.1.fna	CP015139.1	20562	21821	-	cmlA1_1	1-1260/1260	===============	0/0	100.00	99.68	resfinder	M64556	cmlA1	Chloramphenicol
/app/Data_Files/genomes/GCA_001617565.1.fna	CP015139.1	22142	22631	-	ARR-3_4	54-543/543	.==============	0/0	90.24	99.80	resfinder	FM207631	ARR-3	
