#FILE	NUM_FOUND	ARR-3_4	aac(3)-IIa_1	aac(3)-IId_1	aac(3)-IV_1	aac(3)-IVa_1	aac(3)-VIa_2	aac(6')-Ian_1	aac(6')-Ib-cr_1	aac(6')-Ib_1	aadA10_1	aadA16_1	aadA2_1	aadA5_1	ant(2'')-Ia_1	ant(3'')-Ia_1	aph(3'')-Ib_2	aph(3'')-Ib_5	aph(3')-III_1	aph(3')-IIa_2	aph(3')-Ia_1	aph(3')-Ia_3	aph(3')-Ia_9	aph(3')-VIa_1	aph(4)-Ia_1	aph(6)-Ic_1	aph(6)-Id_1	armA_1	blaCARB-2_1	blaCMY-141_1	blaCMY-145_1	blaCMY-146_1	blaCMY-2_1	blaCMY-42_1	blaCMY-4_1	blaCMY-6_1	blaCTX-M-101_1	blaCTX-M-102_1	blaCTX-M-122_1	blaCTX-M-14_1	blaCTX-M-14b_1	blaCTX-M-15_1	blaCTX-M-174_1	blaCTX-M-1_1	blaCTX-M-27_1	blaCTX-M-2_1	blaCTX-M-32_2	blaCTX-M-3_1	blaCTX-M-44_1	blaCTX-M-55_1	blaCTX-M-64_1	blaCTX-M-65_1	blaCTX-M-8_1	blaDHA-1_1	blaDHA-6_1	blaIMP-14_1	blaIMP-1_1	blaIMP-4_1	blaKPC-2_1	blaKPC-3_1	blaNDM-13_1	blaNDM-15_1	blaNDM-1_1	blaNDM-21_1	blaNDM-4_1	blaNDM-5_1	blaOXA-10_1	blaOXA-181_1	blaOXA-1_1	blaOXA-244_1	blaOXA-48_1	blaOXA-4_1	blaOXA-9_1	blaSFO-1_1	blaSHV-102_1	blaSHV-12_1	blaSHV-182_1	blaSHV-190_1	blaTEM-104_1	blaTEM-106_1	blaTEM-10_1	blaTEM-116_1	blaTEM-122_1	blaTEM-135_1	blaTEM-141_1	blaTEM-169_1	blaTEM-176_1	blaTEM-1A_1	blaTEM-1B_1	blaTEM-1C_1	blaTEM-1D_1	blaTEM-215_1	blaTEM-30_1	blaTEM-32_1	blaTEM-35_1	blaTEM-84_1	catA1_1	catA2_1	catB3_2	cfr_1	cmlA1_1	cmlA1_2	dfrA12_8	dfrA12_9	dfrA14_5	dfrA16_2	dfrA17_1	dfrA1_10	dfrA1_8	dfrA23_1	dfrA27_1	dfrA5_1	dfrA7_5	dfrA8_1	ere(A)_5	erm(42)_2	erm(B)_18	floR_1	floR_2	fosA3_1	fosA6_1	fosA7_1	lnu(F)_1	lnu(G)_1	mcr-1.1_1	mcr-1.5_1	mcr-3.1_1	mcr-3.5_1	mcr-5.1_1	mdf(A)_1	mef(B)_1	mph(A)_1	mph(A)_2	mph(B)_1	mph(E)_1	msr(E)_1	oqxA_1	oqxB_1	qepA1_1	qepA4_1	qnrA1_1	qnrB19_1	qnrB1_1	qnrB4_1	qnrB6_2	qnrS1_1	qnrS2_1	qnrS4_1	rmtB_1	rmtC_1	sul1_5	sul2_14	sul2_2	sul2_3	sul2_6	sul3_2	tet(A)_6	tet(B)_1	tet(B)_2	tet(C)_3	tet(D)_1	tet(G)_2	tet(M)_4	tet(M)_5	tet(M)_7	tet(M)_8	tet(X)_1	tet(X)_3
/app/Data_Files/genomes/GCA_000833635.2.fna	1	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/app/Data_Files/genomes/GCA_001280345.1.fna	8	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	97.76	.	.	.	.	.	.	.	.	96.89	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	95.84	.	.	.	.	.	.	.	.	.	.	.
/app/Data_Files/genomes/GCA_001617565.1.fna	17	90.24	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	83.54	.	100.00	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00;100.00;100.00	.	100.00	.	.	.	97.80	.	.	.	.	.	.	.	.	.	.	.
/app/Data_Files/genomes/GCA_001644745.1.fna	3	.	.	.	.	.	.	.	.	.	.	.	.	.	.	82.30	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.
/app/Data_Files/genomes/GCA_001682305.2.fna	11	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	100.00	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00;100.00	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.
/app/Data_Files/genomes/GCA_001886535.1.fna	14	.	.	.	.	.	.	.	.	.	.	.	97.92	.	.	82.51	.	.	.	.	.	.	100.00	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	99.92	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	97.80;97.80	.	.	.	.	.	.	.	.	.	.	.
/app/Data_Files/genomes/GCA_002012105.1.fna	15	.	.	.	.	99.87	.	.	.	.	.	.	.	.	.	.	99.88	100.00	.	.	.	.	.	.	100.00	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	99.92	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	97.80	.	.	.	.	.	100.00	.	.	.	.	.
/app/Data_Files/genomes/GCA_002142675.1.fna	15	.	100.00	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	100.00	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	99.65;100.00	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.
/app/Data_Files/genomes/GCA_002165115.2.fna	5	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	97.80	.	.	.	.	.	.	.	.	.	.	.
/app/Data_Files/genomes/GCA_002196495.1.fna	13	.	.	84.09	.	.	.	.	.	.	.	.	97.92	.	.	82.51;82.51;99.59;99.59;99.59;82.51	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00	.	.	.	.	.	.	.	.	.	.	.	100.00	.	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00	.	.	.	.	.	.	100.00	100.00	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	.	100.00;100.00	97.80	.	.	.	.	.	100.00	.	.	.	.	.
