accession,tax_id,strain,assembly_level,collection_date,geo_location,host,bioproject_id,biosample_id,source_type,title,year_clean,country_clean,host_clean,diversity_group
GCF_033725995.1,562,2023CK-01341,Complete Genome,10/18/23,USA,Homo sapiens,PRJNA812595,SAMN38251294,urine,Pathogen: clinical or host-associated sample from Escherichia coli,10/18/23,USA,human,USA_human_10/18/23
GCA_022558405.1,562,Z503,Complete Genome,8/14/18,China: Zhejiang,Homo sapiens,PRJNA791555,SAMN24295374,,Microbe sample from Escherichia coli,8/14/18,China,human,China_human_8/14/18
GCF_001455385.1,562,CQSW20,Complete Genome,9/15/07,China: Chongqing,Homo sapiens,PRJNA303642,SAMN04288058,,Microbe sample from Escherichia coli,9/15/07,China,human,China_human_9/15/07
GCF_052884205.1,562,Xuzhou21,Complete Genome,1999,China,Homo sapiens,,SAMN44480235,,Microbe sample from Escherichia coli,1999,China,human,China_human_1999
GCF_027925785.1,562,NIID080884,Complete Genome,2008,Japan,Homo sapiens,PRJDB14896,SAMD00562887,missing,Escherichia coli strain NIID080884,2008,Japan,human,Japan_human_2008
GCA_022846235.1,562,Rb-23,Complete Genome,1/1/17,Japan,Homo sapiens,PRJDB12453,SAMD00411242,,Escherichia coli Rb-23 Genome sequencing and assembly,1/1/17,Japan,human,Japan_human_1/1/17
GCF_040616285.1,562,EC554,Complete Genome,12/19/23,Spain,Homo sapiens,PRJNA1129355,SAMN42151356,rectal swabs,Pathogen: clinical or host-associated sample from Escherichia coli,12/19/23,Spain,human,Spain_human_12/19/23
GCA_008064935.1,562,90-9133,Complete Genome,1988,Bangladesh,Homo sapiens,PRJNA218110,SAMN09262346,missing,Pathogen: clinical or host-associated sample from Escherichia coli,1988,Bangladesh,human,Bangladesh_human_1988
GCA_025757665.1,562,,Complete Genome,2021,South Korea:Seoul,Homo sapiens,PRJNA798244,SAMN31100334,feces,MIMAG Metagenome-assembled Genome sample from Escherichia coli,2021,South Korea,human,South Korea_human_2021
GCA_022493135.1,562,A40,Complete Genome,1999,Mexico,deer,PRJNA293615,SAMN04100063,feces,Microbe sample from Escherichia coli,1999,Mexico,non-human,Mexico_non-human_1999
GCF_009363035.1,562,LAU-OXA,Complete Genome,2017-12,Lebanon,Homo sapiens,PRJNA577178,SAMN13021417,,Microbe sample from Escherichia coli,2017,Lebanon,human,Lebanon_human_2017
GCA_009873375.1,562,NCCP 15955,Complete Genome,1/1/14,South Korea: Jeonnam,Homo sapiens,PRJNA555176,SAMN12302778,stool,Pathogen: clinical or host-associated sample from Escherichia coli,1/1/14,South Korea,human,South Korea_human_1/1/14
GCF_013201505.1,562,,Complete Genome,2008,Portugal,Bird of prey,PRJEB36175,SAMEA6471229,Bird of prey,2-101,2008,Portugal,non-human,Portugal_non-human_2008
GCF_030295625.1,562,JNE141411,Complete Genome,2014,Japan,Homo sapiens,PRJDB14917,SAMD00566465,,Complete sequence of LEE-negative enterohemorrhagic Escherichia coli,2014,Japan,human,Japan_human_2014
GCF_034423795.1,562,THN257,Complete Genome,9/30/19,China: luohe,chicken,PRJNA1048378,SAMN38637364,,Microbe sample from Escherichia coli,9/30/19,China,non-human,China_non-human_9/30/19
GCF_977064575.1,562,BLSE177-2012,Complete Genome,2012,Belgium,Homo sapiens,,SAMEA120421550,urine,E3,2012,Belgium,human,Belgium_human_2012
GCF_040105125.1,562,ST-131,Complete Genome,9/20/17,"India: South India, Andhra Pradesh, Prasanthigram",Homo sapiens,PRJNA1118478,SAMN41610980,mid stream urine,Pathogen: clinical or host-associated sample from Escherichia coli,9/20/17,India,human,India_human_9/20/17
GCF_016403875.2,562,STEC2017-197,Complete Genome,2017,Switzerland: Zurich,Homo sapiens,PRJNA682534,SAMN16993373,stool,STEC2017-197,2017,Switzerland,human,Switzerland_human_2017
GCF_040267585.1,562,129130,Complete Genome,1/13/24,Germany: Landstuhl,Homo sapiens,PRJNA1116075,SAMN41774621,Surveillance,Pathogen: clinical or host-associated sample from Escherichia coli,1/13/24,Germany,human,Germany_human_1/13/24
GCF_002012005.1,562,Ecol_517,Complete Genome,2011,Brazil: Rio de Janeiro,Homo sapiens,PRJNA316786,SAMN05511179,,,2011,Brazil,human,Brazil_human_2011
